blockchain,token_pair,pool_address,unique_key,uni_portion,total_volume,uni_volume
ethereum,PAXG-USDT,0x7cb85f75e61226060453a997a7733f76707df337,0x45804880de22913dafe09f4980848ece6ecbaf78-0xdac17f958d2ee523a2206206994597c13d831ec7,1,3008059.2556612506,3008059.2556612506
ethereum,ALIX-WETH,0xcecce1ee722f8b6e3b12f488b4b0571cad7b6a8c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xe593be9b01c2fe3e55c463157be40f0546f84ed1,1,2631.3476209474215,2631.3476209474215
ethereum,wCFG-WETH,0x05f63dc38bfeb686ca68b9d237b192cb43067ce0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xc221b7e65ffc80de234bbb6667abdd46593d34f0,1,300264.9552608959,300264.9552608959
ethereum,Ascend-WETH,0xda6e0d2359e6865b3ec130cdbbd18ed6407651bf,0x0943d06a5ff3b25ddc51642717680c105ad63c01-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1677.2698154355785,1677.2698154355785
ethereum,BUX-WETH,0x054083270214cdce329c3a6e5d5346d661a77a76,0x92043c4306886f2b1ce0f1894046ec8b9f8e9aab-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,31850.523382520005,31850.523382520005
ethereum,kb-KDA-USDC,0x28dd617d6528a1fae26bf4293d7e9cbf2641ee86,0x7786f1eb2ec198a04d8f5e3fc36fab14da370076-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,198461.48378819897,198461.48378819897
ethereum,semper ubi sub ubi-WETH,0x58a5200bbd776b4e3af85d77f8793f8003c91fd3,0x69ea4bed0896b1d65154893748c766a21a034f44-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1347.7130731488223,1347.7130731488223
ethereum,SUN-WETH,0x8b5980b4eb8446a061a53ea4cc0fc21690ad19c1,0x0000369250e9079822a0c0828919d42516b60000-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,36426.13690923817,36426.13690923817
ethereum,KROM-WETH,0x6ae0cdc5d2b89a8dcb99ad6b3435b3e7f7290077,0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,17829.206764144754,17829.206764144754
ethereum,elizaOS-USDC,0xd959e947fe87f43a8c54da5241f4e8becd027798,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48-0xea17df5cf6d172224892b5477a16acb111182478,1,1481386.1031206502,1481386.1031206502
ethereum,ENERGY-WETH,0x1d9e7dd1cb89f53e2f1b15c19b4f66f0f28d8cbe,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xd1de603884e6424241caf53efa846e7c6163755c,0.9769033809634279,22916.97652254992,22387.67184633852
